Accel_X,Accel_Y,Accel_Z,modAccel_X,modAccel_Y,modAccel_Z,Displ_X,Disp_Y,Displ_Z
-2.7538,-2.0776,9.0258,0.0882001,-0.6958,-0.3724,-0.013769,-0.010388,0.045129
-1.7934,-1.9012,9.1042,0.9604,0.1764,0.0784006,-0.008967,-0.009506,0.045521
-1.3916,-2.499,9.7804,0.4018,-0.5978,0.6762,-0.006958,-0.012495,0.048902
-0.9506,-2.597,9.5648,0.441,-0.0979998,-0.2156,-0.004753,-0.012985,0.047824
-1.5288,-2.45,9.4472,-0.5782,0.147,-0.1176,-0.007644,-0.01225,0.047236
-1.47,-2.3618,9.5354,0.0588,0.0882001,0.0881996,-0.00735,-0.011809,0.047677
-0.9016,-2.5088,9.5942,0.5684,-0.147,0.0588007,-0.004508,-0.012544,0.047971
-0.7742,-2.6656,9.6824,0.1274,-0.1568,0.0881996,-0.003871,-0.013328,0.048412
-0.7448,-2.646,9.5648,0.0294001,0.0195999,-0.117599,-0.003724,-0.01323,0.047824
-0.5782,-2.4892,9.604,0.1666,0.1568,0.0391998,-0.002891,-0.012446,0.04802
-0.3626,-2.8322,9.8,0.2156,-0.343,0.196,-0.001813,-0.014161,0.049
-0.9702,-2.4304,9.3002,-0.6076,0.4018,-0.4998,-0.004851,-0.012152,0.046501
-0.1862,-2.6754,9.4472,0.784,-0.245,0.146999,-0.000931002,-0.013377,0.047236
-0.2646,-2.5186,9.5844,-0.0784,0.1568,0.1372,-0.001323,-0.012593,0.047922
-0.8918,-2.7832,9.7608,-0.6272,-0.2646,0.1764,-0.004459,-0.013916,0.048804
-0.7938,-2.2246,9.4668,0.098,0.5586,-0.294001,-0.003969,-0.011123,0.047334
-0.7938,-2.4794,9.3492,0,-0.2548,-0.117599,-0.003969,-0.012397,0.046746
-0.8428,-2.5872,9.5648,-0.049,-0.1078,0.2156,-0.004214,-0.012936,0.047824
-0.9212,-2.5578,9.4178,-0.0784,0.0293999,-0.147,-0.004606,-0.012789,0.047089
