AccelX,AccelY,AccelZ,OldAX,OldAY,OldAZ,Old2AX,Old2AY,Old2AZ,AvgAX,AvgAY,AvgAZ,DX,DY,Dz
0.784,-1.1564,9.751,0.6566,-0.9506,9.6824,0.6566,-0.9506,9.6824,0.699067,-1.0192,9.70527,-6.9713e+32,-0.494132,4.22623
0.4312,-0.9996,10.0842,0.784,-1.1564,9.751,0.784,-1.1564,9.751,0.6664,-1.10413,9.86207,-6.9713e+32,-0.499653,4.27554
0.588,-0.9898,9.7608,0.4312,-0.9996,10.0842,0.4312,-0.9996,10.0842,0.483467,-0.996333,9.9764,-6.9713e+32,-0.504635,4.32543
0.9408,-1.127,9.4374,0.588,-0.9898,9.7608,0.588,-0.9898,9.7608,0.7056,-1.03553,9.653,-6.9713e+32,-0.509812,4.37369
0.4214,-1.2838,9.6432,0.9408,-1.127,9.4374,0.9408,-1.127,9.4374,0.767667,-1.17927,9.506,-6.9713e+32,-0.515709,4.42122
0.147,-1.3426,9.8882,0.4214,-1.2838,9.6432,0.4214,-1.2838,9.6432,0.329933,-1.3034,9.72487,-6.9713e+32,-0.522226,4.46985
0.0098,-1.5484,9.8196,0.147,-1.3426,9.8882,0.147,-1.3426,9.8882,0.101267,-1.4112,9.86533,-6.9713e+32,-0.529282,4.51917
0.3528,-1.519,9.4668,0.0098,-1.5484,9.8196,0.0098,-1.5484,9.8196,0.124133,-1.5386,9.702,-6.9713e+32,-0.536975,4.56768
0.784,-1.8914,9.653,0.3528,-1.519,9.4668,0.3528,-1.519,9.4668,0.496533,-1.64313,9.52887,-6.9713e+32,-0.54519,4.61533
0.833,-1.9012,9.7216,0.784,-1.8914,9.653,0.784,-1.8914,9.653,0.800333,-1.89467,9.67587,-6.9713e+32,-0.554664,4.66371
1.176,-2.1266,9.8098,0.833,-1.9012,9.7216,0.833,-1.9012,9.7216,0.947333,-1.97633,9.751,-6.9713e+32,-0.564545,4.71246
2.2932,-1.911,9.4276,1.176,-2.1266,9.8098,1.176,-2.1266,9.8098,1.5484,-2.05473,9.6824,-6.9713e+32,-0.574819,4.76087
6.0172,-1.7542,7.6636,2.2932,-1.911,9.4276,2.2932,-1.911,9.4276,3.53453,-1.85873,8.8396,-6.9713e+32,-0.584113,4.80507
4.6942,-0.2058,8.2516,6.0172,-1.7542,7.6636,6.0172,-1.7542,7.6636,5.5762,-1.23807,7.8596,-6.9713e+32,-0.590303,4.84437
4.2336,-0.0392,8.8004,4.6942,-0.2058,8.2516,4.6942,-0.2058,8.2516,4.54067,-0.150267,8.43453,-6.9713e+32,-0.591054,4.88654
4.2728,-0.0392,9.0552,4.2336,-0.0392,8.8004,4.2336,-0.0392,8.8004,4.24667,-0.0392,8.88533,-6.9713e+32,-0.59125,4.93097
4.4786,0.0098,8.7024,4.2728,-0.0392,9.0552,4.2728,-0.0392,9.0552,4.3414,-0.0228667,8.9376,-6.9713e+32,-0.591365,4.97566
4.214,-0.2058,8.624,4.4786,0.0098,8.7024,4.4786,0.0098,8.7024,4.3904,-0.0620667,8.67627,-6.9713e+32,-0.591675,5.01904
3.6456,0.1176,8.722,4.214,-0.2058,8.624,4.214,-0.2058,8.624,4.02453,-0.098,8.65667,-6.9713e+32,-0.592165,5.06232
3.7828,-0.4508,9.1532,3.6456,0.1176,8.722,3.6456,0.1176,8.722,3.69133,-0.0718667,8.86573,-6.9713e+32,-0.592524,5.10665
3.6162,-0.4998,9.3198,3.7828,-0.4508,9.1532,3.7828,-0.4508,9.1532,3.72727,-0.467133,9.20873,-6.9713e+32,-0.59486,5.15269
3.4202,-0.7742,9.1434,3.6162,-0.4998,9.3198,3.6162,-0.4998,9.3198,3.55087,-0.591267,9.261,-6.9713e+32,-0.597816,5.199
2.695,-0.539,9.3786,3.4202,-0.7742,9.1434,3.4202,-0.7742,9.1434,3.17847,-0.6958,9.2218,-6.9713e+32,-0.601295,5.24511
1.764,-0.0294,9.6236,2.695,-0.539,9.3786,2.695,-0.539,9.3786,2.38467,-0.369133,9.46027,-6.9713e+32,-0.603141,5.29241
1.1956,-0.098,9.31,1.764,-0.0294,9.6236,1.764,-0.0294,9.6236,1.57453,-0.0522667,9.51907,-6.9713e+32,-0.603402,5.34
0.7448,-0.196,9.4276,1.1956,-0.098,9.31,1.1956,-0.098,9.31,1.04533,-0.130667,9.3492,-6.9713e+32,-0.604056,5.38675
0.588,-0.245,9.751,0.7448,-0.196,9.4276,0.7448,-0.196,9.4276,0.692533,-0.212333,9.5354,-6.9713e+32,-0.605117,5.43443
1.3818,-0.5194,10.0646,0.588,-0.245,9.751,0.588,-0.245,9.751,0.8526,-0.336467,9.85553,-6.9713e+32,-0.6068,5.48371
1.2348,-0.2352,9.4766,1.3818,-0.5194,10.0646,1.3818,-0.5194,10.0646,1.3328,-0.424667,9.8686,-6.9713e+32,-0.608923,5.53305
1.4896,-0.2352,9.7902,1.2348,-0.2352,9.4766,1.2348,-0.2352,9.4766,1.31973,-0.2352,9.58113,-6.9713e+32,-0.610099,5.58095
1.323,-0.6664,9.408,1.4896,-0.2352,9.7902,1.4896,-0.2352,9.7902,1.43407,-0.378933,9.6628,-6.9713e+32,-0.611994,5.62927
2.0188,-1.176,9.9372,1.323,-0.6664,9.408,1.323,-0.6664,9.408,1.55493,-0.836267,9.5844,-6.9713e+32,-0.616175,5.67719
1.6268,-1.9894,9.31,2.0188,-1.176,9.9372,2.0188,-1.176,9.9372,1.88813,-1.44713,9.72813,-6.9713e+32,-0.623411,5.72583
0.7644,-1.5092,10.0548,1.6268,-1.9894,9.31,1.6268,-1.9894,9.31,1.33933,-1.82933,9.55827,-6.9713e+32,-0.632557,5.77362
1.3328,-2.0188,9.8588,0.7644,-1.5092,10.0548,0.7644,-1.5092,10.0548,0.953867,-1.67907,9.98947,-6.9713e+32,-0.640953,5.82357
0.9604,-2.0188,10.2508,1.3328,-2.0188,9.8588,1.3328,-2.0188,9.8588,1.20867,-2.0188,9.98947,-6.9713e+32,-0.651047,5.87352
